batch_number,mc_no,date,shift,design,debossed,rm,mb_code,mc_speed,issued_by
2505330,CCM-15,16-09-2025,B,S-1881-CSD-001,PLAIN,MB6562,PE04407082,1200,RAMESHWORY
2505329,CCM-17,16-09-2025,A,AB22CSD1,COCA COLA,MB6562/MB5569,PE33407289,1150,RAMESHWORY
2505328,CCM-03,16-09-2025,C,S2622CSD 30.37,PLAIN,MB5569,PL53407100,1700,DHANANJAY
2505327,CCM-07/08,16-09-2025,A,AB-1881-HF,MINUTE MAID,MB6562,PE04407082,1450,JAVEED
2505326,ccm-12,16-09-2025,b,A-1881-CSD-006,PLAIN,MB6561,PE04407082,1200/500,DHANANJAY
2505325,CCM-09/10,16-09-2025,A,S-1881-CSD001,PLAIN,MB6562,51215,500,NAOCHA
2505324,CCM-01,16-09-2025,C,S29W1,KINLEY,MB6562,PE94407025,500/500,DHANANJAY
2505323,CCM-03,16-09-2025,C,S2622CSD 30.37,DAILEE,ACP533H1,PE53407419,1700,MONIKA
2505322,CCM-03,16-09-2025,B,S2622CSD 30.37,DAILEE,MB6562,PE04407082,1200,MONIKA
2505321,CCM-02,16-09-2025,A,S2622CSD 30.37,DAILEE,MB6562,CCA26284,1450,NAOCHA
2505320,CCM-14,16-09-2025,A,S27LW,BISLERI,MB6562,PL63407198,1450,DHANANJAY
2505319,CCM-03,16-09-2025,C,S2622CSD 30.37,PLAIN,M5005L,GR1738,1700,DHANANJAY
2505318,CCM-03,16-09-2025,A,S2622CSD 30.37,PLAIN,MB6562,PL53407100,1450,MONIKA
2505317,CCM-01,16-09-2025,C,S29W1,KINLEY,MB6562,PE04407082,1450,JAVEED
2505316,CCM-17,16-09-2025,B,AB22CSD1,COCA COLA,ACP533H1,PL54407056,1700,DHANANJAY
2505315,CCM-15,16-09-2025,C,S-1881-CSD-001,PLAIN,MB5569,PE33407289,1700,MONIKA
2505314,CCM-09/10,16-09-2025,C,S-1881-CSD-001,PLAIN,MB6562,PE33407289,1150,RAMESHWORY
2505313,CCM-03,16-09-2025,C,S2622CSD 30.37,PLAIN,MB6562,51860,500,RAMESHWORY
2505310,CCM-03,16-09-2025,B,S2622CSD 30.37,PLAIN,MB6561,PE33407289,1200,JAVEED
2505309,CCM-14,16-09-2025,C,S27LW,BISLERI,MB6562,51860,1450,NAOCHA
2505308,CCM-02,16-09-2025,B,S2622CSD 30.37,DAILEE,M5005L,GR1738,1700,RAMESHWARY
2505307,CCM-17,16-09-2025,B,AB22CSD1,COCA COLA,MB6562,PE04407082,1200,HELENA
2505306,CCM-03,16-09-2025,B,S2622CSD 30.37,PLAIN,MB5569,PE94407025,1700,HELENA
2505303,CCM-09/10,16-09-2025,A,S-1881-CSD-001,BINDU,M5005L,PW70SCB,1700,JAVEED
2505305,CCM-15,16-09-2025,B,S-1881-CSD001,PLAIN,MB6562,25030,500/500,MONIKA
2505304,CCM-03,16-09-2025,B,S2622CSD 30.37,PLAIN,MB6562,PE94407025,1150,JAVEED
2505302,CCM-07/08,16-09-2025,A,AB-1881-HF,MINUTE MAID,MB6562,PL63407198,1450,JAVEED
2505301,CCM-15,16-09-2025,A,S-1881-CSD-001 R01,COCA COLA,MB6561,PE04407082,1200/500,RAMESHWARY
2505300,CCM-16,16-09-2025,A,PS27W-2,BAILLEY,MB6562,PE04407082,1150,RAMESHWARY
2505299,CCM-04,16-09-2025,B,S-1881-CSD004,COCA COLA,M5005L,8NA110,1700,RAMESHWARY
2505315,CCM-15,9/5/2025,C,S-1881-CSD-001,PLAIN,MB5569,PE33407289,1700,MONIKA
2505314,CCM-09/10,9/5/2025,C,S-1881-CSD-001,PLAIN,MB6562,PE33407289,1150,RAMESHWORY
2505313,CCM-03,45874,C,S2622CSD 30.37,PLAIN,MB6562,51860,500,RAMESHWORY
2505312,CCM-12,,,,,MB6562,23010,1450,RAMESHWORY
2505311,CCM-07/08,45874,A,AB-1881-HF,MAAZA,,,,
2505310,CCM-03,45843,B,S2622CSD 30.37,PLAIN,MB6561,PE33407289,1200,JAVEED
2505309,CCM-14,45813,C,S27LW,BISLERI,MB6562,51860,1450,NAOCHA
2505308,CCM-02,45781,B,S2622CSD 30.37,DAILEE,M5005L,GR1738,1700,RAMESHWARY
2505307,CCM-17,45781,B,AB22CSD1,COCA COLA,MB6562,PE04407082,1200,HELENA
2505306,CCM-03,45781,B,S2622CSD 30.37,PLAIN,MB5569,PE94407025,1700,HELENA
2505304,CCM-14,45752,B,S27LW,CLEAR,MB6562,2530,1450,HELENA
2505303,CCM-09/10,45752,A,S-1881-CSD-001,BINDU,M5005L,PW70SCB,1700,JAVEED
2505305,CCM-15,45721,B,S-1881-CSD001,PLAIN,MB6562,25030,500/500,MONIKA
2505304,CCM-03,45721,B,S2622CSD 30.37,PLAIN,MB6562,PE94407025,1150,JAVEED
2505302,CCM-07/08,2/5/2025,A,AB-1881-HF,MINUTE MAID,MB6562,PL63407198,1450,JAVEED
2505301,CCM-15,1/5/2025,A,S-1881-CSD-001 R01,COCA COLA,MB6561,PE04407082,1200/500,RAMESHWARY
2505300,CCM-16,45662,A,PS27W-2,BAILLEY,MB6562,PE04407082,1150,RAMESHWARY
2505299,CCM-04,30/04/2025,B,S-1881-CSD004,COCA COLA,M5005L,8NA110,1700,RAMESHWARY
,,,,,,MB6562,PL53407100,1450,JAVEED
